,index,text,score
0,P1,"1. A method of transmitting data streams between a base station (20) and a mobile station (30) in a wireless communication network (10), the method comprising:  selecting, based on an expected performance of the mobile station (30), a desired feedback mode to be one of a rich feedback mode or a limited feedback mode, whereby the limited feedback mode comprises channel coefficients for a selected combination of data rates and antennas (28), by transmitting corresponding Channel Quality Indicators, CQIs, i.e. open loop feedback mode, and the rich feedback mode comprises channel coefficients for all possible combinations of data rates and antennas (28) by transmitting corresponding CQIs and channel coefficients, i.e. closed loop feedback mode; and configuring a base station transmitter (22) based on feedback which is transmitted from the mobile station to the base station using the desired feedback mode, wherein said configuring comprises prefiltering each data stream based on said channel coefficients to match a propagation channel (12) from all transmit antennas (28) to a selected receive antenna (38) at the mobile station (30), when rich feedback mode is selected. | 28. A base station (20), adapted to transmit data streams to a mobile station (30), the base station (20) comprises:  a transmitter (22) having a plurality of transmit antennas (28); and a transmission control circuit (24) operatively coupled to the transmitter (22) for selecting, based on an expected performance of the mobile station (30), a desired feedback mode to be one of a rich feedback mode or a limited feedback mode, whereby the limited feedback mode comprises channel coefficients for a selected combination of data rates and antennas (28), by transmitting corresponding Channel Quality Indicators, CQIs, i.e. open loop feedback model and the rich feedback mode comprises channel coefficients for all possible combinations of data rates and antennas (28) by transmitting corresponding COIs and channel coefficients, i.e. closed loop feedback mode; and for configuring a base station transmitter (22) based on feedback which is transmitted from the mobile station to the base station using the desired feedback mode, wherein said configuring comprises prefiltering each data stream based on said channel coefficients to match a propagation channel (12) from all transmit antennas (28) to a selected receive antenna (38) at the mobile station (30), when rich feedback mode is selected.",0.013838013838013839
1,P2,"1. A method of managing communication resources (40, 45) in a wireless communication system (1) comprising multiple transmitter nodes (10, 15), said method comprises the steps of:  - providing a default resource allocation (60) specifying when to use multi-node-adapted (40) and single-node-adapted (45) communication resources for said multiple transmitter nodes (10, 15) to transmit information, where a multi-node-adapted communication resource (40) is adapted for time-coordinated transmissions of multi-node-associated information and a single-node-adapted communication resources (45) is adapted for transmission of single-node-associated information; - estimating an expected amount of at least one of said multi-node-associated information and said single-node-associated information to be transmitted by a subset (10) of said multiple transmitter nodes (10, 15); and - dynamically adjusting said default resource allocation (60), for said subset (10) of said multiple transmitter nodes (10, 15), by allocating, based on said estimated expected amount of information, a multi-node-adapted communication resource (40) for transmission of single-node-associated information or a single-node-adapted communication resource (45) for time-coordinated transmissions of multi-node-associated information. | 4. The method according to any of the claims 1 to 3, wherein said dynamically adjusting step comprises the step of dynamically adjusting said default resource allocation (60) by frequency multiplexing multi-node-associated and single-node-associated information based on said estimated expected amount of information. | 5. The method according to any of the claims 1 to 4, wherein said estimating step comprises estimating an expected amount of said multi-node-associated information to be transmitted by said subset (10) of said multiple transmitter nodes (10, 15). | 6. The method according to any of the claims 1 to 5, wherein said estimating step comprises estimating said expected amount of information based on user requests for multi-node-associated information originating from user terminals (20) associated with said subset (10) of said multiple transmitter nodes (10, 15). | 7. The method according to any of the claims 1 to 6, wherein a multi-node-adapted communication resource (40) is an orthogonal sub-carrier carrying a symbol (50) having an associated cyclic extension (52) of a first length (Î A ) and a single-node-adapted communication resource (45) is an orthogonal sub-carrier carrying a symbol (55) having an associated cyclic extension (57) of a second length (Î B ), where said second length (Î B ) being shorter than said first length (Î A ). | 9. The method according to any of the claims 1 to 8, wherein said multi-node-associated information is single frequency network broadcast information. | 10. The method according to any of the claims 1 to 9, wherein said communication resources (40, 45) are orthogonal sub-carriers and said wireless communication system (1) is a communication system employing orthogonal frequency-division multiplexing. | 11. A method of transmitting information by a transmitting node (10) in a wireless communication system (1) comprising multiple transmitting nodes (10, 15), said communication system (1) employing a default resource allocation (60) specifying when to use multi-node-adapted (40) and single-node-adapted (45) communication resources for said multiple transmitter nodes (10, 15) to transmit information, where a multi-node-adapted communication resource (40) is adapted for time-coordinated transmissions of multi-node-associated information and a single-node-adapted communication resources (45) is adapted for transmission of single-node-associated information, said method comprising the steps of:  - estimating an expected amount of at least one of said multi-node-associated information and said single-node-associated information to be transmitted by said transmitter node (10); - dynamically adjusting said default resource allocation (60), for said transmitter node (10), by allocating, based on said estimated expected amount of information, a multi-node-adapted communication resource (40) for transmission of single-node-associated information or a single-node-adapted communication resource (45) for time-coordinated transmissions of multi-node-associated information; and - transmitting information according to said adjusted default resource allocation (60). | 12. A system (100) for managing communication resources (40, 45) in a wireless communication system (1) comprising multiple transmitter nodes (10, 15), said system (100) comprises:  - means (110, 120) for providing a default resource allocation (60) specifying when to use multi-node-adapted (40) and single-node-adapted (45) communication resources for said multiple transmitter nodes (10, 15) to transmit information, where a multi-node-adapted communication resource (40) is adapted for time-coordinated transmissions of multi-node-associated information and a single-node-adapted communication resources (45) is adapted for transmission of single-node-associated information; - an estimator (130) for estimating an expected amount of at least one of said multi-node-associated information and said single-node-associated information to be transmitted by a subset (10) of said multiple transmitter nodes (10, 15); and - means (140) for dynamically adjusting said default resource allocation (60), for said subset (10) of said multiple transmitter nodes (10, 15), by allocating, based on said estimated expected amount of information, a multi-node-adapted communication resource (40) for transmission of single-node-associated information or a single-node-adapted communication resource (45) for time-coordinated transmissions of multi-node-associated information. | 15. The system according to any of the claims 12 to 14, wherein said estimator (130) is configured for estimating an expected amount of said multi-node-associated information to be transmitted by said subset (10) of said multiple transmitter nodes (10, 15). | 16. The system according to any of the claims 12 to 15, wherein said estimator (130) is configured for estimating said expected amount of information based on user requests for multi-node-associated information originating from user terminals (20) associated with said subset (10) of said multiple transmitter nodes (10, 15). | 17. The system according to any of the claims 12 to 16, wherein a multi-node-adapted communication resource (40) is an orthogonal sub-carrier carrying a symbol (50) having an associated cyclic extension (52) of a first length (Î A ) and a single-node-adapted communication resource (45) is an orthogonal sub-carrier carrying a symbol (55) having an associated cyclic extension (57) of a second length (Î B ), where said second length (Î B ) being shorter than said first length (Î A ). | 19. The system according to any of the claims 12 to 18, wherein said multi-node-associated information is single frequency network broadcast information. | 20. The system according to any of the claims 12 to 19, wherein said communication resources (40, 45) are orthogonal sub-carriers and said wireless communication system (1) is a communication system employing orthogonal frequency-division multiplexing. | 21. A network node (10) comprising a system (100) according to any of the claims 12 to 20. | 22. A transmitter node (10) comprising:  - means (210) for receiving information of an adjusted resource allocation (65) generated by a system (100) according to any of the claims 12 to 20; and - a transmitter (210) for transmitting information according said information of said adjusted resource allocation (65).",0.01911346075640504
2,P3,"1. A method of indicating channel quality by a wireless communication device, comprising:  receiving a table of channel quality indicator ,CQI, values, the table comprising ranges of CQI values, the ranges of CQI values being tailored to a cell of interest and determined based on information indicating channel quality in the cell of interest; (200) accessing the table of CQI values; (202) identifying a range of CQI values that includes a channel quality estimate derived by the wireless communication device; (204) and generating a channel quality information message based on the identified range of CQI values (206); wherein the ranges of CQI values are selected to have approximately equal probabilities of occurrence by dividing a cumulative probability distribution function of said information indicating channel quality in the cell of interest into a number of equal segments, each segment representing one of said ranges of CQI values. | 7. A wireless communication device, comprising:  a receiver (42) configured to receive a table (22) of channel quality indicator CQI, values, the table comprising ranges of CQI values, the ranges of CQI values being tailored to a cell of interest and determined based on information indicating channel quality in the cell of interest; and signal processing circuitry (48) configured to derive a channel quality estimate, access the table of CQI values, identify a range of CQI values that includes the channel quality estimate, and generate a channel quality information message based on the identified range of CQI values; wherein the ranges of CQI values are selected to have approximately equal probabilities of occurrence by dividing a cumulative probability distribution function of said information indicating channel quality in the cell of interest into a number of equal segments, each segment representing one of said ranges of CQI values.. | 15. A method of composing a table of channel quality indicator ,CQI, values, comprising:  analyzing information indicating channel quality in a cell of interest; (100) generating at least one table of CQI values, the table comprising ranges of CQI values, the ranges of CQI values being tailored to the cell of interest and determined based on the information analyzed; (102) and transmitting the table of CQI values; wherein the ranges of CQI values are selected to have approximately equal probabilities of occurrence by dividing a cumulative probability distribution function of said information indicating channel quality in the cell of interest into a number of equal segments, each segment representing one of said ranges of CQI values.. | 17. A wireless communication device for composing a table of channel quality indicator ,CQI, values, comprising:  signal processing circuitry (48) configured to analyze information indicating channel quality in a cell of interest, and generate at least one table of CQI values (22), the table comprising ranges of CQI values, the ranges of CQI values being tailored to the cell of interest and determined based on the information analyzed; and a transmitter (38) configured to transmit the table of CQI values; wherein the ranges of CQI values are selected to have approximately equal probabilities of occurrence by dividing a cumulative probability distribution function of said information indicating channel quality in the cell of interest into a number of equal segments, each segment representing one of said ranges of CQI values..",0.016306563391765186
3,P4,"1. A method in a user equipment, UE (800), for providing channel state feedback from the UE to a base station (700),  characterized by  the steps of  - determining (403) whether the UE has received an uplink grant from the base station or not; - transmitting (404) a first type of channel state feedback information to the base station on the granted resource in case the UE has received an uplink grant; - transmitting (405) a second type of channel state feedback information on a dedicated resource in case the UE has not received an uplink grant, wherein said second type of information is less detailed than the first type. | 13. A user Equipment, UE. (800), for providing channel state feedback from the UE to a base station (700),  characterized by: - a determining unit (802) for determining whether the UE has received an uplink grant from the base station or not, - a transmitting unit (807) for transmitting a first type of channel state feedback information to the base station on the granted resource in case the UE has received an uplink grant, or a second type of channel state feedback information on a dedicated resource in case the UE has not received an uplink grant, wherein said second type of information is less detailed than the first type.",0.010262725779967159
4,P5,"1. A mobile terminal device (401) for use in a wireless communications system (420), comprising:  a receiver (405) for receiving a signal (404) from M number of transmit antennas (403-1, 403-2, 403-3, 403-4), which signal includes a number of subcarriers (412);  wherein the mobile terminal device (401) is  characterized by  further comprising:  a processing unit (406) for determining a channel quality indicator, CQI, reporting format for a collection of said subcarriers based on a selected transmit antenna configuration associated with said collection of subcarriers and for determining P CQI , number of CQI values, (409) relating to said collection of subcarriers in accordance with a determined CQI reporting format, wherein the processing unit is arranged to adapt the CQI reporting format to the selected transmit antenna configuration such that the granularity of CQI reporting depends on the number m of transmit antennas of the selected transmit antenna configuration; and a transmitter (407) for transmitting said P CQI  CQI values to a base station (400) in a feedback signal (408). | 10. A method in a mobile terminal device (401) comprising:  receiving (500) a signal from M number of transmit antennas (403-1, 403-2, 403-3, 403-4), which signal includes a number of subcarriers (412);  wherein the method is  characterized by  further comprising:  determining (501) a channel quality indicator, CQI, reporting format for a collection of said subcarriers based on a selected transmit antenna configuration associated with said collection of subcarriers, wherein said CQI reporting format is adapted to the selected transmit antenna configuration such that the granularity of CQI reporting depends on the number m of transmit antennas of the selected transmit antenna configuration; determining (502) P CQI , number of CQI values, (409) relating to said collection of subcarriers in accordance with the determined CQI reporting format; and transmitting (503) said P CQI  CQI values to a base station (400) in a feedback signal (408). | 20. A base station (400) for use in a wireless communications system (420), comprising:  a transmitter (410) for transmitting a signal (404) including a number of subcarriers (412) from M number of transmit antennas (403-1, 403-2, 403-3, 403-4); a receiver (421) for receiving a feedback signal (408) from a mobile terminal device (401);  wherein the base station (400) is  characterized by  further comprising:  a processing unit (402) for processing said feedback signal to extract P CQI , number of CQI values, (409) relating to a collection of said subcarriers and to extract antenna configuration information (411) specifying a selected transmit antenna configuration, which CQI values are in accordance with a CQI reporting format which depends on the selected transmit antenna configuration such that the granularity of the CQI reporting depends on the number of antennas of the selected transmit antenna configuration.",0.014303228442991417
5,P6,"1. A method of configuring uplink sounding transmissions by mobile terminals (120) in a wireless communication network (100) comprising a base station and said mobile terminals, said method comprising:  determining (200), by said base station, different sets of configuration parameters for uplink sounding signal transmissions for a given mobile terminal (120) of said mobile terminals, which sets of configuration parameters comprises frequency-domain and time-domain parameters; and transmitting (202) the determined different sets of configuration parameters to said given mobile terminal (120), receiving, by said given mobile terminals, said transmitted different sets of configuration parameter, generating, by the given mobile terminal, different uplink sounding signals for different uses by the base station based on said received different sets of configuration parameters. | 7. A wireless communication network (100), for configuring uplink sounding transmissions, comprising a base station and mobile terminals, the wireless communication network comprising means configured to:  determine (200), by said base station, different sets of configuration parameters for uplink sounding signal transmissions for a given mobile terminal (120) of said mobile terminals, which sets of configuration parameters comprises frequency-domain and time-domain parameters; and transmit (202) the determined different sets of configuration parameters to said given mobile terminal (120), receive, by said given mobile terminals, said transmitted different sets of configuration parameter, generate, by the given mobile terminal, different uplink sounding signals for different uses by the base station based on said received different sets of configuration parameters.",0.013125512715340444
6,P7,"1. A method of spatially precoding data in a channel independent way, said method comprising:  selecting a transmission rank based on a transmission rank of a communication channel (16); said method  characterized by :  selecting a set of one or more precoding filters (124) derived from a single generator matrix based on said transmission rank; and precoding data for transmission to a remote device (200) using said precoding filters in a predetermined order according to a predetermined precoding sequence, thus using different ones of said precoding filters during different precoding intervals in a precoding period of the predetermined precoding sequence. | 12. A transmitter (100) for transmitting spatially precoding data in a channel independent way comprising:  a transmit controller (110) configured to determine a transmission rank of said communication channel and to select a set of one or more precoding filters (124) derived from a single generator matrix based on said transmission rank; and a transmit signal processor (120) including a precoder (124) configured to precode said data for transmission using said precoding filters in a predetermined order according to a predetermined precoding sequence, thus using different ones of said precoding filters in different precoding intervals of a predetermined precoding period of the predetermined precoding sequence. | 13. A method of receiving spatially precoded data, precoded in a channel independent way, received from a remote device (200), said method comprising:  determining a transmission rank applied at a transmitter; said method  characterized by :  selecting a set of one or more combining filters (224) based on said transmission rank, wherein said combining filters corresponding to a set of precoding filters derived from a single generator matrix; and combining said spatially precoded data using said combining filters in a predetermined order according to a predetermined combining sequence, thus using different ones of said combining filters during different combining intervals in a combining period of the predetermined combining sequence. | 21. A receiver for receiving spatially precoded data, precoded in a channel independent way, said method comprising:  a receive controller (210) configured to determine a transmission rank applied at a transmitter (100) and to select a set of one or more combining filters (224) derived from a single generator matrix based on said transmission rank; and a receive signal processor (220) including a combiner (124) configured to combine said spatially precoded data using said combining filters in a predetermined order according to the predetermined combining sequence, thus using different ones of said combining filters in different combining intervals in a predetermined combining period of the predetermined combining sequence.",0.015102040816326531
7,P8,"1. A method performed by a base station (20) of an evolved UMTS Terrestrial Radio Access Network, E-UTRAN, operating in time divisional duplex, TDD, mode for transmitting data on a radio channel,  characterised by  the steps of:  - jointly encoding (S4) a preamble format with a first random access configuration, forming an extended random access configuration, wherein the first random access configuration comprises a combination of a density value of a Physical Random Access Channel and a version index, wherein version indexes are defined by different patterns with the same density where random access opportunities are allocated at different sub-frames and - transmitting (S6) the extended random access configuration on the radio channel. | 5. A base station (20) of an evolved UMTS Terrestrial Radio Access Network, E-UTRAN, arranged to operate in time divisional duplex, TDD, mode  characterised by  :  - a control unit (201) arranged to jointly encode a preamble format with a first random access configuration, thereby forming an extended random access configuration wherein the first random access configuration comprises a combination of a density value of a Physical Random Access Channel and a version index, wherein version indexes are defined by different patterns with the same density where random access opportunities are allocated at different sub-frames, and - a transmitting arrangement (205) adapted to transmit the extended random access configuration on a radio channel. | 10. A method performed by a user equipment (10) of an evolved UMTS Terrestrial Radio Access Network, E-UTRAN, operating in time divisional duplex, TDD, mode for performing a random access process  characterised by  the steps of:  - receiving (R4) data containing an extended random access configuration on a radio channel, - decoding (R6) the extended random access configuration thereby retrieving a preamble format and a first random access configuration, wherein the first random access configuration comprises a combination of a density value of a Physical Random Access Channel and a version index, wherein version indexes are defined by different patterns with the same density where random access opportunities are allocated at different sub-frames, and - performing (R8) a random access process using the preamble format and the first random access configuration. | 13. A User Equipment (10) of an evolved UMTS Terrestrial Radio Access Network, E-UTRAN, arranged to operate in time divisional duplex, TDD, mode  characterised by :  - a receiving arrangement (103) adapted to receive data comprising an extended random access configuration on a radio channel from a base station (20); and - a control unit (101) arranged to decode the extended random access configuration to obtain a preamble format and a first random access configuration, wherein the first random access configuration comprises a combination of a density value of a Physical Random Access Channel and a version index, wherein version indexes are defined by different patterns with the same density where random access opportunities are allocated at different sub-frames, and wherein the control unit (101) is further arranged to use the preamble format and the random access configuration when performing a random access process.",0.021623827009383926
8,P9,"1. A method for transmitting data over a plurality of multiple input multiple output, MIMO, channels comprising:  modulating a plurality of bit streams into multiple data symbol vectors (s1-s8), each vector having a transmission rank with one vector for each MIMO channel, wherein transmission rank is the number of elements in a data symbol vector corresponding to the number of data streams being transmitted in parallel over each MIMO channel; precoding the multiple data symbol vectors into multiple precoded symbol vectors (x1-x8) using multiple precoders, wherein a precoder is a matrix having plural columns, belonging to a first open-loop precoder cycling codebook of precoders that are grouped into precoder cycling sets, one set for each transmission rank including multiple different precoders, wherein the precoders within each precoder cycling set are separated with respect to a plurality of distance measures, wherein the precoding includes precoding each data symbol vector of a transmission rank with a precoder belonging to the precoder cycling set of that transmission rank; and transmitting the precoded symbol vectors over the plurality of MIMO channels; and wherein the first precoder cycling codebook comprises the precoders associated with codebook indices 12, 13, 14, and 15 in the following table where a quantity  W n s  denotes a precoder matrix defined by columns given by the set { s } from the expression  W n = I â 2 u n u n H / u n H u n  where  I  is a 4Ã4 identity matrix and vector  u n  :  Codebook index u n Transmission Rank 1 2 3 4 12 u 12  = [1 -1 -1 1] T W 12 1 W 12 12 / 2 W 12 123 / 3 W 12 1234 / 2 13 u 13  = [1 -1 1 -1] T W 13 1 W 13 13 / 2 W 13 123 / 3 W 13 1324 / 2 14 u 14  = [1 -1 -1] T W 14 1 W 14 13 / 2 W 14 123 / 3 W 14 3214 / 2 15 u 15  = [1 1 1 1] T W 15 1 W 15 12 / 2 W 15 123 / 3 W 15 1234 / 2 | 4. The method in any of the claims 1 - 3, wherein a number of transmission ranks is four. | 6. The method according to any of the claims 1-5, wherein:  one or more different types of distance measures define one or more distances between precoders of the same transmission rank, the first precoder cycling codebook is a subset of a source precoder codebook that includes multiple precoders of a plurality of transmission ranks; and there exists no second precoder cycling codebook that satisfies the following conditions:  1) the second precoder cycling codebook is a subset of the source precoder codebook, 2) each of the precoder cycling sets, one for each transmission rank, associated with the second precoder cycling codebook, has the same number of precoders as the corresponding precoder cycling set of the first precoder cycling codebook, 3) each of the precoder cycling sets, one for each transmission rank, associated with the second precoder cycling codebook, has equal or better distance properties, with respect to the one or more distance measures, than the corresponding precoder cycling set of the first precoder cycling codebook, and 4) at least one of the precoder cycling sets associated with the second precoder cycling codebook, has better distance properties, with respect to at least one of the distance measures, than the corresponding precoder cycling set associated with the first precoder cycling codebook. | 8. The method in any of the claims 6 or 7, wherein the source codebook is a codebook specified by the LTE standard. | 10. The method in any of the claims 6 - 9, wherein multiple distance measures are used and include chordal distance, projection two-norm distance, and Fubini-Study distance. | 11. A method according to any of the claims 1-10, wherein all the precoders that belong to a precoder cycling set are real-valued matrices with antipodal elements or a complex rotation of such matrices. | 12. A method according to any of the claims 1-11, wherein one of the precoder cycling sets in the first precoder cycling codebook of precoders has a block-diagonal structure including:  a scaled unitary matrix; a plurality of block diagonal matrices, wherein a block-diagonal matrix is a matrix that has all non-zero elements in blocks along a diagonal; and a plurality of column subsets of a plurality of block-diagonal matrices,  wherein a column subset of a first matrix is a second matrix formed from a plurality of columns of the first matrix arbitrarily ordered, and  wherein each precoder in the one precoder cycling set is a matrix product of the scaled unitary matrix multiplied by one of the plurality of column subsets of a plurality of block-diagonal matrices. | 14. The method according to any of the claims 12 and 13, wherein the precoders have four rows and the scaled unitary matrix is given by:   1 0 1 0 0 1 0 1 1 0 â 1 0 0 1 0 â 1 ,  or a row and/or a column permutation thereof.",0.031578947368421054
9,P10,"1. A method in a first node (110) for sending feedback data on a feedback channel (121) to a second node (111), wherein the feedback data is indicative of channel properties of a data channel (120) for sending data from the second node (111) to the first node (110), a wireless MIMO communications system (100) comprising the first and second nodes (110, 111), the method comprising  sending (420), in a time period of the feedback channel (121), feedback data comprising a first rank indicator of the data channel (120), the method being  characterized in that  the step of sending (420) further comprises sending of additional data (212, 242), being independent of the first rank indicator, and being dependent on a second rank indicator, different from the first rank indicator, in the time period. | 9. An arrangement (500) of a first node (110) for sending feedback data on a feedback channel (121) to a second node (111) of a wireless MIMO communications system (100) comprising the first and second nodes (110, 111), wherein the feedback data is indicative of channel properties of a data channel (120) for sending data from the second node (111) to the first node (110) the arrangement (500) comprising  a sending unit (520) configured to send, in a time period of the feedback channel (121), feedback data comprising a first rank indicator of the data channel (120), the arrangement (500) being  characterized in that  the sending unit (520) is further configured to send additional data (212, 242), being independent of the first rank indicator, and being dependent on a second rank indicator, different from the first rank indicator, in the time period. | 10. A method in a second node (111) for receiving feedback data on a feedback channel (121) from a first node (110), wherein the feedback data is indicative of channel properties of a data channel (120) for sending data from the second node (111) to the first node (110), a wireless MIMO communications system (100) comprising the first and second nodes (110, 111), the method comprising  receiving (620), in a time period of the feedback channel (121), feedback data comprising a first rank indicator of the data channel (120), the method being  characterized in that  the step of receiving (620) further comprises reception of additional data (212, 242), being independent of the first rank indicator, and being dependent on a second rank indicator, different from the first rank indicator, in the time period. | 15. An arrangement (700) of a second node (111) for receiving feedback data on a feedback channel (121) from a first node (110) of a wireless MIMO communications system (100) comprising the first and second nodes (110, 111), wherein the feedback data is indicative of channel properties of a data channel (120) for sending data from the second node (111) to the first node (110), the arrangement (700) comprising  a receiving unit (710) configured to receive, in a time period of the feedback channel (121), feedback data comprising a first rank indicator of the data channel (120), the arrangement (700) being  characterized in that  the receiving unit (710) further is configured to receive additional data (212, 242) being independent of the first rank indicator, and being dependent on a second rank indicator, different from the first rank indicator, in the time period.",0.010245901639344262
